,parm_cd,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,parameter_group_nm,parameter_nm,casrn,srsname,parameter_units
3101,10,USGS,2405500,KELLY CREEK NEAR VINCENT AL,ST,33.44760728,-86.386924,S,NAD83,404.09,0.01,NGVD29,3150106,uv,NA,2856,NA,wat,NA,1645597,0,7/12/2008,7/8/2017,3283,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3200,10,USGS,2458148,"VILLAGE CREEK AT 86TH ST NORTH AT ROEBUCK, AL.",ST,33.5770483,-86.7188778,U,NAD83,NA,NA,NA,3160111,uv,NA,3051,NA,wat,NA,1645597,0,7/18/2014,7/8/2017,1086,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3241,10,USGS,2450250,SIPSEY FORK NEAR GRAYSON AL,ST,34.28537757,-87.3989084,U,NAD83,540,0.01,NGVD29,3160110,uv,NA,3016,NA,wat,NA,1645597,0,4/13/2012,7/8/2017,1912,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3808,10,USGS,2469100,TOMBIGBEE RIVER AT PENNINGTON AL,ST,32.2376437,-88.0083498,U,NAD83,NA,NA,NA,3160201,uv,NA,3114,NA,wat,NA,1645597,0,7/9/2014,7/8/2017,1095,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3837,10,USGS,2397530,"COOSA RIVER AT STATE LINE, AL/GA",ST,34.20176124,-85.447458,S,NAD83,549.5,0.1,NAVD88,3150105,dv,3,37920,NA,wat,NA,1645597,0,6/22/1975,7/8/2017,13685,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
3852,10,USGS,2453500,MULBERRY FORK AT CORDOVA AL,ST,33.75760677,-87.1702791,U,NAD83,243.6,0.01,NGVD29,3160109,uv,NA,3025,NA,wat,NA,1645597,0,8/23/2012,7/8/2017,1780,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4304,10,USGS,2407514,"YELLOWLEAF CREEK NEAR WESTOVER, ALA.",ST,33.32066689,-86.4952592,S,NAD83,NA,NA,NA,3150107,uv,NA,2867,NA,wat,NA,1645597,0,7/12/2008,7/8/2017,3283,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4463,10,USGS,2423397,"LITTLE CAHABA RIVER BELOW LEEDS, AL.",ST,33.53454886,-86.5624847,S,NAD83,595.5,3,NGVD29,3150202,uv,NA,2940,NA,wat,NA,1645597,0,10/17/2008,7/8/2017,3186,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4758,10,USGS,2458502,"VILLAGE CREEK NEAR PRATT CITY, ALABAMA",ST,33.5239948,-86.8911032,S,NAD83,500.22,0.2,NAVD88,3160111,uv,NA,3066,NA,wat,NA,1645597,0,7/26/2014,7/8/2017,1078,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4808,10,USGS,2397530,"COOSA RIVER AT STATE LINE, AL/GA",ST,34.20176124,-85.447458,S,NAD83,549.5,0.1,NAVD88,3150105,dv,1,37918,NA,wat,NA,1645597,0,6/22/1975,7/8/2017,13700,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4928,10,USGS,2397530,"COOSA RIVER AT STATE LINE, AL/GA",ST,34.20176124,-85.447458,S,NAD83,549.5,0.1,NAVD88,3150105,dv,2,37919,NA,wat,NA,1645597,0,6/22/1975,7/8/2017,13705,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
4933,10,USGS,2423496,"CAHABA RIVER NEAR HOOVER, AL",ST,33.3692767,-86.7841551,U,NAD83,379.56,0.01,NGVD29,3150202,uv,NA,2951,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
5016,10,USGS,2397530,"COOSA RIVER AT STATE LINE, AL/GA",ST,34.20176124,-85.447458,S,NAD83,549.5,0.1,NAVD88,3150105,uv,NA,40368,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
5164,10,USGS,2458450,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",ST,33.5176059,-86.8791584,U,NAD83,505.16,0.01,NGVD29,3160111,uv,NA,3060,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
