"","parm_cd","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"15104","00010","USGS","11261500","SAN JOAQUIN R A FREMONT FORD BRIDGE CA","ST",37.3099386,-120.9310369,"S","NAD83"," 72.37",".10","NAVD88","18040001","dv","00002",9498,NA,"wat",NA,1645597,0,1985-09-20,2017-07-08,7066,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15117","00010","USGS","11458433","SONOMA CREEK A KENWOOD CA","ST",38.4188004,-122.5627606,"S","NAD83"," 420"," 20","NGVD29","18050002","uv",NA,16255,NA,"wat",NA,1645597,0,2008-10-04,2017-07-08,3199,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15143","00010","USGS","11455165","MINER SLOUGH A HWY 84 BRIDGE","ST",38.29166667,-121.6308333,"5","NAD83"," 0","0.1","NAVD88","18020109","uv",NA,16042,NA,"wat",NA,1645597,0,2008-08-05,2017-07-08,3259,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15268","00010","USGS","11173200","ARROYO HONDO NR SAN JOSE CA","ST",37.46160337,-121.769397,"F","NAD83"," 783.86",".01","NGVD29","18050004","dv","00001",8919,NA,"wat",NA,1645597,0,2008-09-06,2017-07-08,3176,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15331","00010","USGS","11446700","AMERICAN R A WILLIAM B POND PARK A CARMICHAEL CA","ST",38.59129436,-121.3327288,"S","NAD83"," 45","  2","NGVD29","18020111","uv",NA,15719,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15339","00010","USGS","11446980","AMERICAN R BL WATT AVE BRDG NR CARMICHAEL CA","ST",38.5671281,-121.3882857,"S","NAD83"," 25","2.5","NGVD29","18020111","dv","00002",10982,NA,"wat",NA,1645597,0,1998-11-13,2017-07-08,6799,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15474","00010","USGS","11251000","SAN JOAQUIN R BL FRIANT CA","ST",36.98439397,-119.7243124,"F","NAD83"," 294.00"," 17","NGVD29","18040001","uv",NA,14949,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15490","00010","USGS","11173575","ALAMEDA C BL WELCH C NR SUNOL CA","ST",37.5404908,-121.856345,"S","NAD83"," 300"," 20","NGVD29","18050004","uv",NA,14818,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15560","00010","USGS","11313433","DUTCH SLOUGH BL JERSEY ISLAND RD A JERSEY ISLAND","ST",38.0135326,-121.667731,"S","NAD83"," 0","0.1","NAVD88","18040003","uv",NA,15372,NA,"wat",NA,1645597,0,2014-07-09,2017-07-08,1095,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"15751","00010","USGS","11475560","ELDER C NR BRANSCOMB CA","ST",39.7295997,-123.6439073,"F","NAD83"," 1391.08",".01","NGVD29","18010106","uv",NA,16501,NA,"wat",NA,1645597,0,2012-04-05,2017-07-08,1920,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
